1745079079: mosquitto version 2.0.21 starting
1745079079: Config loaded from mosquitto.conf.
1745079079: Opening ipv4 listen socket on port 1887.
1745079079: mosquitto version 2.0.21 running
1745079082: New connection from 127.0.0.1:56670 on port 1887.
1745079082: New client connected from 127.0.0.1:56670 as auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (p2, c1, k60).
1745079082: No will message specified.
1745079082: Sending CONNACK to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 (0, 0)
1745079082: Received SUBSCRIBE from auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169
1745079082: 	/sensor/temperature/# (QoS 0)
1745079082: auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 0 /sensor/temperature/#
1745079082: Sending SUBACK to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169
1745079082: Received SUBSCRIBE from auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169
1745079082: 	/sensor/pressure/# (QoS 0)
1745079082: auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169 0 /sensor/pressure/#
1745079082: Sending SUBACK to auto-CE0DF2BE-4ED5-B4B5-0495-B91FDDD04169
1745079086: New connection from 127.0.0.1:56724 on port 1887.
1745079086: New client connected from 127.0.0.1:56724 as raspberry_pi_sector1_dev001_7006321c (p2, c1, k60).
1745079086: No will message specified.
1745079086: Sending CONNACK to raspberry_pi_sector1_dev001_7006321c (0, 0)
1745079086: Received SUBSCRIBE from raspberry_pi_sector1_dev001_7006321c
1745079086: 	/actuator/valve/sector1/dev001 (QoS 0)
1745079086: raspberry_pi_sector1_dev001_7006321c 0 /actuator/valve/sector1/dev001
1745079086: Sending SUBACK to raspberry_pi_sector1_dev001_7006321c
1745079086: Received PUBLISH from raspberry_pi_sector1_dev001_7006321c (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079757: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079757: Received PUBLISH from raspberry_pi_sector1_dev001_1e412aba (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079757: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079757: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079761: Received PUBLISH from raspberry_pi_sector1_dev001_089211de (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079761: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079761: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079761: Received PUBLISH from raspberry_pi_sector1_dev001_089211de (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079761: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079761: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079762: Received PUBLISH from raspberry_pi_sector1_dev001_1e412aba (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079762: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079762: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079762: Received PUBLISH from raspberry_pi_sector1_dev001_1e412aba (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079762: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079762: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079766: Received PUBLISH from raspberry_pi_sector1_dev001_089211de (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (106 bytes))
1745079766: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (106 bytes))
1745079766: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (106 bytes))
1745079766: Received PUBLISH from raspberry_pi_sector1_dev001_089211de (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079766: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079766: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079767: Received PUBLISH from raspberry_pi_sector1_dev001_1e412aba (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079767: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079767: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079767: Received PUBLISH from raspberry_pi_sector1_dev001_1e412aba (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079767: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079767: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079771: Received PUBLISH from raspberry_pi_sector1_dev001_089211de (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079771: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079771: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079771: Received PUBLISH from raspberry_pi_sector1_dev001_089211de (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079771: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079771: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079772: Received PUBLISH from raspberry_pi_sector1_dev001_1e412aba (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079772: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079772: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079772: Received PUBLISH from raspberry_pi_sector1_dev001_1e412aba (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079772: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079772: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079776: Received PUBLISH from raspberry_pi_sector1_dev001_089211de (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079776: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079776: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079776: Received PUBLISH from raspberry_pi_sector1_dev001_089211de (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079776: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079776: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079777: Received PUBLISH from raspberry_pi_sector1_dev001_1e412aba (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079777: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079777: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079777: Received PUBLISH from raspberry_pi_sector1_dev001_1e412aba (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079777: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079777: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079779: Received PINGREQ from 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF
1745079779: Sending PINGRESP to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF
1745079781: Received PUBLISH from raspberry_pi_sector1_dev001_089211de (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079781: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079781: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079781: Received PUBLISH from raspberry_pi_sector1_dev001_089211de (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079781: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079781: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079782: Received PUBLISH from raspberry_pi_sector1_dev001_1e412aba (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (106 bytes))
1745079782: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (106 bytes))
1745079782: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (106 bytes))
1745079782: Received PUBLISH from raspberry_pi_sector1_dev001_1e412aba (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079782: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079782: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079782: Received PINGREQ from raspberry_pi_sector1_dev001_1e412aba
1745079782: Sending PINGRESP to raspberry_pi_sector1_dev001_1e412aba
1745079786: Received PUBLISH from raspberry_pi_sector1_dev001_089211de (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079786: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079786: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079786: Received PUBLISH from raspberry_pi_sector1_dev001_089211de (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079786: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079786: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079787: Received PUBLISH from raspberry_pi_sector1_dev001_1e412aba (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079787: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079787: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079787: Received PUBLISH from raspberry_pi_sector1_dev001_1e412aba (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079787: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079787: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079791: Received PUBLISH from raspberry_pi_sector1_dev001_089211de (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079791: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079791: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079791: Received PUBLISH from raspberry_pi_sector1_dev001_089211de (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079791: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079791: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079792: Received PUBLISH from raspberry_pi_sector1_dev001_1e412aba (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079792: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079792: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079792: Received PUBLISH from raspberry_pi_sector1_dev001_1e412aba (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079792: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079792: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079796: Received PUBLISH from raspberry_pi_sector1_dev001_089211de (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079796: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079796: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079796: Received PUBLISH from raspberry_pi_sector1_dev001_089211de (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079796: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079796: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079797: Received PUBLISH from raspberry_pi_sector1_dev001_1e412aba (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079797: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079797: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079797: Received PUBLISH from raspberry_pi_sector1_dev001_1e412aba (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079797: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079797: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079801: Received PUBLISH from raspberry_pi_sector1_dev001_089211de (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079801: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079801: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079801: Received PUBLISH from raspberry_pi_sector1_dev001_089211de (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079801: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079801: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079802: Received PUBLISH from raspberry_pi_sector1_dev001_1e412aba (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079802: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079802: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079802: Received PUBLISH from raspberry_pi_sector1_dev001_1e412aba (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079802: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079802: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079806: Received PUBLISH from raspberry_pi_sector1_dev001_089211de (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079806: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079806: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079806: Received PUBLISH from raspberry_pi_sector1_dev001_089211de (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079806: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079806: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079807: Received PUBLISH from raspberry_pi_sector1_dev001_1e412aba (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079807: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079807: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079807: Received PUBLISH from raspberry_pi_sector1_dev001_1e412aba (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079807: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079807: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079812: Received PUBLISH from raspberry_pi_sector1_dev001_089211de (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079812: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079812: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079812: Received PUBLISH from raspberry_pi_sector1_dev001_089211de (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079812: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079812: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079812: Received PUBLISH from raspberry_pi_sector1_dev001_1e412aba (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079812: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079812: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079812: Received PUBLISH from raspberry_pi_sector1_dev001_1e412aba (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079812: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079812: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079813: Received PINGREQ from 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C
1745079813: Sending PINGRESP to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C
1745079817: Received PUBLISH from raspberry_pi_sector1_dev001_089211de (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079817: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079817: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079817: Received PUBLISH from raspberry_pi_sector1_dev001_089211de (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079817: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079817: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079817: Received PINGREQ from raspberry_pi_sector1_dev001_089211de
1745079817: Sending PINGRESP to raspberry_pi_sector1_dev001_089211de
1745079817: Received PUBLISH from raspberry_pi_sector1_dev001_1e412aba (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079817: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079817: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079817: Received PUBLISH from raspberry_pi_sector1_dev001_1e412aba (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079817: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079817: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079822: Received PUBLISH from raspberry_pi_sector1_dev001_089211de (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079822: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079822: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/temperature/sector1/dev001', ... (107 bytes))
1745079822: Received PUBLISH from raspberry_pi_sector1_dev001_089211de (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079822: Sending PUBLISH to 977F875C-B7BC-D5F6-FA03-4CCC65E10CBF (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
1745079822: Sending PUBLISH to 9A9E5BFF-7FD2-FE2A-E576-A35073717A9C (d0, q0, r0, m0, '/sensor/pressure/sector1/dev001', ... (103 bytes))
